"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"rent_price";"gross_profitability"
"Piso en venta en Centro";"Molina de Segura";210000;1;1;0;"Otro";5;158;"Segunda mano/buen estado";0;0;1;1;0;1;"centro";NA;1004;5.73714285714286
"Chalet adosado en venta en Las Torres de Cotillas";"las torres de cotillas";195000;0;2;0;"Muchas_plantas";3;141;"Segunda mano/buen estado";0;1;0;1;0;0;"las torres de cotillas";"Las Torres de Cotillas";943;5.80307692307692
"Casa o chalet independiente en venta en Campotéjar-Los Valientes";"campotéjar-los valientes";260000;0;2;0;"Muchas_plantas";4;491;"Segunda mano/buen estado";0;0;0;0;0;0;"campotejar-los valientes";NA;1414;6.52615384615385
"Casa o chalet independiente en venta en avenida del Golf";"Altorreal-El Chorrico";390000;0;4;1;"Muchas_plantas";5;330;"Segunda mano/buen estado";1;1;1;1;1;1;"altorreal-el chorrico";NA;1400;4.30769230769231
"Piso en venta en calle Estación";"Centro";159900;1;2;1;"Bajo";3;179;"Segunda mano/buen estado";1;1;1;0;1;0;"centro";NA;962;7.21951219512195
"Piso en venta en travesía Quevedo 1";"Lorqui";85000;1;2;1;"Primero";3;103;"Segunda mano/buen estado";1;0;0;1;1;0;"lorqui";"Lorquí";845;11.9294117647059
"Chalet adosado en venta en calle Virgen de la Mercedes, 29";"El Castillo-San Roque-El Carmen";169000;0;2;0;"Muchas_plantas";3;297;"Segunda mano/buen estado";1;1;1;1;0;1;"el castillo-san roque-el carmen";NA;1147;8.14437869822485
"Piso en venta en calle Andalucía, 1";"Las Torres de Cotillas";110000;1;1;1;"Bajo";2;90;"Segunda mano/buen estado";1;0;0;1;0;1;"las torres de cotillas";"Las Torres de Cotillas";677;7.38545454545454
"Piso en venta en paseo Rosales";"Centro";58000;0;1;0;"Intermedios";3;121;"Segunda mano/para reformar";0;0;1;0;1;0;"centro";NA;805;16.6551724137931
"Chalet pareado en venta en Los Vientos-Casa Ros";"Molina de Segura";230000;0;3;0;"Primero";5;278;"Segunda mano/buen estado";0;1;0;1;1;0;"los vientos-casa ros";NA;1244;6.49043478260869
"Dúplex en venta en Alguazas";"alguazas";119900;0;2;1;"Bajo";4;146;"Segunda mano/buen estado";1;1;1;0;1;0;"alguazas";"Alguazas";976;9.76814011676397
"Casa o chalet independiente en venta en Las Torres de Cotillas";"las torres de cotillas";250000;0;1;1;"Primero";3;110;"Segunda mano/buen estado";1;0;0;0;1;1;"las torres de cotillas";"Las Torres de Cotillas";764;3.6672
"Piso en venta en calle Tirso de Molina";"Torrealta-Ribera de Molina";99900;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";1;0;0;0;0;0;"torrealta-ribera de molina";NA;879;10.5585585585586
"Casa o chalet independiente en venta en Centro";"Molina de Segura";137900;0;3;0;"Muchas_plantas";6;255;"Segunda mano/buen estado";1;1;0;0;1;0;"centro";NA;1335;11.6171138506164
"Casa o chalet independiente en venta en Los Vientos-Casa Ros";"Molina de Segura";160500;0;3;0;"Primero";3;123;"Segunda mano/buen estado";0;1;0;1;1;0;"los vientos-casa ros";NA;956;7.14766355140187
"Casa o chalet independiente en venta en La Alcayna";"Romeral";640000;0;4;1;"Muchas_plantas";3;460;"Segunda mano/buen estado";0;0;0;0;1;0;"la alcayna";NA;1431;2.683125
"Chalet adosado en venta en Sagrado Corazón";"Molina de Segura";183000;0;2;1;"Primero";4;150;"Segunda mano/buen estado";1;1;1;1;1;1;"sagrado corazon";NA;952;6.24262295081967
"Casa o chalet independiente en venta en Las Torres de Cotillas";"las torres de cotillas";379000;0;3;0;"Muchas_plantas";4;485;"Segunda mano/buen estado";1;1;0;0;1;1;"las torres de cotillas";"Las Torres de Cotillas";1473;4.66385224274406
"Piso en venta en Alguazas";"alguazas";54000;0;2;0;"Bajo";3;120;"Segunda mano/buen estado";0;0;1;1;1;0;"alguazas";"Alguazas";930;20.6666666666667
"Casa o chalet en venta en Altorreal-El Chorrico";"Romeral";399000;0;1;0;"Muchas_plantas";4;293;"Segunda mano/buen estado";0;1;1;1;0;1;"altorreal-el chorrico";NA;1116;3.35639097744361
"Casa o chalet independiente en venta en Alguazas";"alguazas";139900;0;2;0;"Primero";4;161;"Segunda mano/buen estado";1;1;0;1;1;1;"alguazas";"Alguazas";978;8.38884917798427
"Casa o chalet independiente en venta en Altorreal-El Chorrico";"Romeral";550000;0;2;0;"Muchas_plantas";3;360;"Segunda mano/buen estado";0;1;0;0;0;1;"altorreal-el chorrico";NA;1178;2.57018181818182
"Dúplex en venta en Los Vientos-Casa Ros";"Molina de Segura";194900;0;3;0;"Bajo";4;200;"Segunda mano/buen estado";1;0;1;1;1;0;"los vientos-casa ros";NA;1157;7.12365315546434
"Piso en venta en Centro";"Molina de Segura";220000;1;7;0;"Otro";10;445;"Segunda mano/buen estado";0;0;0;0;1;1;"centro";NA;1996;10.8872727272727
"Chalet adosado en venta en Las Torres de Cotillas";"las torres de cotillas";160000;0;2;1;"Primero";3;147;"Segunda mano/buen estado";1;1;1;1;1;1;"las torres de cotillas";"Las Torres de Cotillas";895;6.7125
"Piso en venta en Centro";"Molina de Segura";139900;1;2;0;"Ultimos_pisos";4;170;"Segunda mano/buen estado";1;0;0;1;1;1;"centro";NA;1044;8.95496783416726
